n50,elevation50,gradient50
24,139.1079,0.165796269
45,144.8002,0.1195539197
40,147.8558,0.04460227864
28,147.7223,0.03621179015
18,148.1043,0.0520108978
141,150.4009,0.0483392643
103,151.4245,0.05145837
12,149.2575,0.0944940483
2,146.4362,0.0684775633
11,148.7014,0.1094702851
8,153.1868,0.1060183315
5,156.7368,0.0688061235
1,158.7825,0.0302011774
0,158.9403,0.0232677592
2,158.0621,0.0230802277
12,156.6952,0.0659455306
38,149.9236,0.177423893
27,142.3979,0.1367534481
5,136.9736,0.1082762454
6,132.7262,0.1158171122
30,145.2384,0.1799597788
41,148.8913,0.0689345262
26,147.988,0.0475848077
36,145.8662,0.0409548998
25,146.4309,0.065469263
70,148.5306,0.0561707718
14,148.7438,0.0642569756
13,146.3795,0.0687604008
23,146.6668,0.0831735025
21,150.9064,0.0670205498
13,153.1639,0.0490373452
10,155.2374,0.053707466
8,157.2547,0.0404232549
0,157.6594,0.02114645139
1,157.4349,0.013371342267
12,156.4515,0.0442920801
33,153.1815,0.1257353174
32,145.3526,0.1726301108
38,140.1707,0.1002300196
28,135.221,0.184530815
21,148.7018,0.0593708541
25,149.8109,0.02250652796
16,147.8313,0.0613300824
14,144.9925,0.0463610519
30,143.855,0.0548945399
63,145.124,0.081787167
60,145.6587,0.064666313
2,144.5401,0.0396780924
20,145.2765,0.0784622433
33,148.8945,0.0792964058
10,151.9292,0.0598404834
8,154.4167,0.0506101189
2,156.2468,0.0351621004
1,157.146,0.01787373794
2,156.6083,0.0250792831
11,155.3904,0.0442093396
10,153.0074,0.0798985595
21,146.9482,0.172741398
32,140.127,0.1345873171
12,132.4488,0.1251812938
21,147.8347,0.047694522
31,148.1541,0.0530874806
37,147.0511,0.0566253425
12,144.6365,0.0524860034
9,142.1198,0.0443911936
3,141.547,0.0494956634
52,142.5595,0.0599950033
1,143.1383,0.0392010607
7,143.01,0.0538542412
15,146.0675,0.116538026
12,150.5719,0.0695812818
5,152.9124,0.0539358095
3,154.8363,0.0415051965
2,155.9054,0.0292528829
3,156.0657,0.0166118246
7,154.9039,0.0390165262
30,151.356,0.1261038444
22,143.4567,0.163330758
21,136.3477,0.1572470785
0,131.6105,0.0745507111
37,145.1418,0.0546836006
38,145.1854,0.0553146338
40,144.5671,0.0630839736
24,143.3191,0.0575473247
3,141.0173,0.0433407629
0,140.4602,0.00837152611
0,140.7785,0.01837445298
0,141.4059,0.02388162693
1,141.6501,0.01632673459
5,143.5035,0.0996913799
11,148.8561,0.0813774315
5,151.6885,0.051136162
7,153.6312,0.0356457515
1,155.0052,0.0313960302
4,155.9543,0.01570603403
13,155.4867,0.0444781164
25,150.3931,0.1656706254
36,141.5688,0.163253999
5,133.7199,0.1278523931
0,130.8492,0.040355875
88,142.8152,0.0481177932
48,142.7161,0.0558018484
37,141.5339,0.0673118963
21,140.2404,0.06178318858
0,140.0995,0.03750075788
0,140.7753,0.02696637873
0,141.2852,0.03214015186
0,141.2509,0.0287127969
0,141.2009,0.01365089648
1,142.6988,0.0784131625
1,147.949,0.0939097281
1,151.1522,0.0474815502
4,152.8038,0.0298054513
1,154.4873,0.0408129384
2,156.0969,0.02011491102
4,155.9029,0.03690769227
73,150.3636,0.191571256
23,140.487,0.180145988
7,132.7444,0.1022105237
0,129.518,0.0912150402
35,140.169,0.0580580454
18,139.5532,0.0773919197
9,138.4952,0.0633605636
7,140.0997,0.05588008965
6,142.252,0.0447510608
4,142.8199,0.03398804606
1,142.9658,0.0295679722
1,143.2028,0.0332125179
0,142.4859,0.0472427433
0,143.9038,0.0738649359
1,147.5843,0.0726771336
1,150.5393,0.0461452885
2,152.1943,0.0341212317
4,153.7798,0.0379075065
6,155.3156,0.0306713832
7,156.0356,0.03410365853
20,150.4268,0.2395019155
10,138.8514,0.190608867
10,132.7818,0.0982006515
0,127.6966,0.1141982953
25,136.6769,0.1069203319
14,135.7467,0.0830960394
21,137.3909,0.0690871904
37,140.6573,0.0610259084
4,142.6408,0.0289235461
7,143.4012,0.01559462623
14,143.8212,0.01079059088
4,144.0025,0.00786461438
4,144.2115,0.01776254218
3,145.2922,0.0529746537
4,147.3039,0.0589693417
13,149.3523,0.0600024718
11,150.6224,0.0647264046
13,151.7,0.0960630002
79,152.5068,0.1231964197
8,154.166,0.107367618
33,145.6047,0.267308467
6,135.1613,0.1527355356
3,130.9332,0.0934468209
2,125.693,0.1038767906
30,133.0765,0.1480371194
15,132.7992,0.1076635491
19,136.8434,0.0617146138
16,139.5091,0.0648328069
4,141.3859,0.0344667431
6,142.4761,0.0361644528
11,143.4008,0.05193847404
9,142.8866,0.09295299822
4,141.7364,0.139134631
11,141.0269,0.1539382629
17,143.3391,0.1310877189
40,144.9559,0.1238270892
64,146.5518,0.1021262677
54,145.2586,0.126921946
56,144.6324,0.146120679
20,147.025,0.186127004
22,140.2153,0.242018419
12,131.6051,0.1222300049
0,128.45,0.0710071287
0,125.1061,0.082395008
24,127.1279,0.1738574713
22,133.1361,0.0981079659
10,135.7746,0.0461251678
8,138.6269,0.06492405
14,139.6322,0.0978491945
21,138.8815,0.1481964886
20,137.1602,0.190133583
4,133.8542,0.213099223
12,132.1281,0.186003881
30,132.0412,0.170775073
41,135.3165,0.186733493
78,139.0941,0.134246894
76,141.5257,0.0933942699
40,139.8088,0.1268672198
31,139.0281,0.1123246708
6,139.2706,0.1697646
15,133.2171,0.202494638
8,128.5344,0.0882030307
0,125.7352,0.0896876874
0,123.0183,0.0899950956
